id,title,url,evidenceClass,status
R1,NATS Science-Informed Pedagogy Institute. National Association of Teachers of Singing. 공식,https://www.nats.org/Science-Informed_Pedagogy_Institute.html,P,spot_checked_v16
R2,Bachelor of Music in Performance: Voice. Berklee College of Music. 공식,https://college.berklee.edu/voice/bachelor-of-music-in-performance-voice,P,imported_pending_full_recheck
R3,Voice Technique 101. Berklee Online. 공식,https://online.berklee.edu/courses/voice-technique-101,P,imported_pending_full_recheck
R4,The Contemporary Singer: Elements of Vocal Technique. Berklee Online. 공식,https://online.berklee.edu/store/product?product_id=17638105&usca_p=t,P,imported_pending_full_recheck
R5,Vocal Arts. Juilliard. 공식,https://www.juilliard.edu/music/vocal-arts,P,imported_pending_full_recheck
R6,Vocal Arts & Opera. USC Thornton School of Music. 공식,https://music.usc.edu/departments/vocal-arts-opera/,P,imported_pending_full_recheck
R7,Vocal Arts. Manhattan School of Music. 공식,https://www.msmnyc.edu/programs/vocal-arts/,P,imported_pending_full_recheck
R8,Vocal & Opera. Royal College of Music. 공식,https://www.rcm.ac.uk/vocal/,P,imported_pending_full_recheck
R9,Vocal Studies. Guildhall School of Music & Drama. 공식,https://www.gsmd.ac.uk/study-with-guildhall/music/principal-study-and-departments/vocal-studies,P,imported_pending_full_recheck
R10,Vocal Studies. Trinity Laban Conservatoire of Music and Dance. 공식,https://www.trinitylaban.ac.uk/music/vocal-studies/,P,imported_pending_full_recheck
R11,"Voice Series, 2025 Edition. Royal Conservatory of Music Canada. 공식",https://www.rcmusic.com/about-us/rcm-publishing/voice-series-2025-edition,P,imported_pending_full_recheck
R12,Vocal Pedagogy Handbook. University of North Texas. 공식,https://music.unt.edu/voice/handbook/vocal-pedagogy.html,P,imported_pending_full_recheck
R13,CCM Vocal Pedagogy Institute. Shenandoah Conservatory. 공식,https://www.ccminstitute.com/,P,imported_pending_full_recheck
R14,Estill Voice Training Level 2: Voice Qualities. Estill Voice International. 공식,https://estillvoice.com/level2/,P,spot_checked_v15
R15,Complete Vocal Technique. Complete Vocal Institute. 공식,https://completevocalinstitute.com/complete-vocal-technique/,P,spot_checked_v15
R16,Somatic Voicework Vocal Pedagogy Course. Jeanie LoVetri. 공식,https://jeanielovetri.com/somatic-voicework-vocal-pedagogy-course/,P,imported_pending_full_recheck
R17,Speech Level Singing. Riggs Vocal Studio. 공식,https://www.riggsvocalstudio.com/speech-level-singing,P,imported_pending_full_recheck
R18,Pan American Vocology Association. PAVA. 공식,https://pavavocology.org/,P,imported_pending_full_recheck
R19,The Voice Foundation. The Voice Foundation. 공식,https://voicefoundation.org/,P,imported_pending_full_recheck
R20,Voice Disorders Practice Portal. ASHA. 전문기관,https://www.asha.org/practice-portal/clinical-topics/voice-disorders/,C,spot_checked_v16
R21,Taking Care of Your Voice. NIDCD/NIH. 전문기관,https://www.nidcd.nih.gov/health/taking-care-your-voice,P,spot_checked_v15
